,name,avg_pts,cv
748,J.Nelson,6.217647058823529,0.973056442025945
745,J.Nelson,6.217647058823529,0.9692240132553452
266,J.Nelson,6.217647058823529,0.9654091302590918
284,J.Nelson,6.217647058823529,0.9663963900231664
263,J.Nelson,6.217647058823529,0.9616660053472803
2803,J.Nelson,6.211764705882353,1.0176886904717304
2339,J.Nelson,6.211764705882353,1.010062562564324
2781,J.Nelson,6.211764705882352,1.0185574819303564
2285,J.Nelson,6.211764705882352,1.0090273208494112
2299,J.Nelson,6.211764705882352,1.0097799079463938
2763,J.Nelson,6.211764705882352,1.0173995869756447
149,J.Nelson,6.211764705882352,0.9593714607981565
645,J.Nelson,6.211764705882352,0.9675515832796847
702,J.Nelson,6.205882352941177,0.972951679748437
111,J.Nelson,6.205882352941177,0.9587914325873579
114,J.Nelson,6.205882352941177,0.9625151219089045
607,J.Nelson,6.205882352941177,0.966972285628757
610,J.Nelson,6.205882352941177,0.9707924891789599
206,J.Nelson,6.205882352941177,0.9646194323786043
224,J.Nelson,6.205882352941177,0.9656080122022483
74,J.Nelson,6.205882352941176,0.9622700614136924
92,J.Nelson,6.205882352941176,0.9632514282907761
987,J.Nelson,6.205882352941176,0.973162761354507
89,J.Nelson,6.205882352941176,0.9595192198747605
491,J.Nelson,6.205882352941176,0.9648251361161432
71,J.Nelson,6.205882352941176,0.9585492045906321
570,J.Nelson,6.205882352941176,0.9705410534557928
567,J.Nelson,6.205882352941176,0.9667238057857185
184,J.Nelson,6.205882352941176,0.9653605823263878
2147,J.Nelson,6.2,1.0066458237210767
2239,J.Nelson,6.2,1.009058380784024
2242,J.Nelson,6.2,1.0134100072731802
298,J.Nelson,6.199999999999999,0.9608888259419255
965,J.Nelson,6.199999999999999,0.9729649901638809
469,J.Nelson,6.199999999999999,0.9646167878939435
295,J.Nelson,6.199999999999999,0.957176914399255
2107,J.Nelson,6.199999999999999,1.0063649646157578
791,J.Nelson,6.199999999999999,0.965331807848585
794,J.Nelson,6.199999999999999,0.9691397830305732
